,Name,Baseline_waterstress_total,Baseline_waterstress_Agricultural,Baseline_waterstress_Domestic,Baseline_waterstress_Industrial,Drought_severity_total,Drought_severity_Agricultural,Drought_severity_Domestic,Drought_severity_Industrial,Flood_occurence_total,Flood_occurence_Agricultural,Flood_occurence_Domestic,Flood_occurence_Industrial,Interannual_variability_total,Interannual_variability_Agricultural,Interannual_variability_Domestic,Interannual_variability_Industrial,Seasonal_variability_total,Seasonal_variability_Agricultural,Seasonal_variability_Domestic,Seasonal_variability_Industrial,water_acces_mean
0,Antigua and Barbuda,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,3.58,3.58,3.58,3.58,,,,,,,,,
1,Bahrain,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,3.07,3.07,3.07,0.26,0.26,0.26,0.26,
2,Barbados,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,3.58,3.58,3.58,3.58,,,,,,,,,0.0
3,Comoros,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.63,1.63,1.63,1.63,,,,,,,,,1.929610672
4,Cyprus,5.0,5.0,5.0,5.0,0.15,0.13,0.26,0.18,0.0,0.0,0.0,0.0,,,,,,,,,0.0
5,Dominica,5.0,,5.0,5.0,0.0,,0.0,0.0,3.58,,3.58,3.58,,,,,,,,,
6,Jamaica,5.0,5.0,5.0,5.0,0.02,0.01,0.02,0.02,3.51,3.52,3.51,3.51,,,,,,,,,2.440600293
7,Malta,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0
8,Qatar,5.0,5.0,5.0,5.0,2.94,2.66,3.19,2.98,0.0,0.0,0.0,0.0,2.61,2.6,2.61,2.66,0.41,0.4,0.42,0.41,0.0
9,Saint Lucia,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,3.58,3.58,3.58,3.58,,,,,,,,,1.6863395209999998
10,Saint Vincent and the Grenadines,5.0,,5.0,5.0,0.0,,0.0,0.0,3.58,,3.58,3.58,,,,,,,,,
11,San Marino,5.0,5.0,5.0,5.0,0.68,0.68,0.68,0.68,2.26,2.26,2.26,2.26,1.38,1.38,1.38,1.38,1.74,1.74,1.74,1.74,
12,Singapore,5.0,,5.0,5.0,1.48,,1.48,1.48,2.89,,2.89,2.89,0.79,,0.79,0.79,0.98,,0.98,0.98,0.0
13,Trinidad and Tobago,5.0,5.0,5.0,5.0,0.7,0.73,0.72,0.65,2.23,2.25,2.24,2.19,,,,,,,,,2.3251519959999998
14,United Arab Emirates,5.0,5.0,5.0,5.0,2.92,3.22,2.18,2.67,1.17,1.23,1.02,1.06,3.56,3.62,3.39,3.72,0.56,0.54,0.59,0.64,0.0
15,Western Sahara,5.0,,5.0,,4.42,,4.67,,1.12,,1.36,,2.89,,2.61,,1.44,,1.48,,
16,Saudi Arabia,4.99,5.0,4.93,5.0,2.12,2.06,2.55,2.56,1.23,1.17,1.74,1.52,3.54,3.51,3.75,3.6,1.6,1.64,1.2,1.39,
17,Kuwait,4.96,4.97,4.97,4.9,1.95,2.09,1.78,2.12,0.56,0.75,0.34,0.43,2.7,2.58,2.84,2.74,0.39,0.36,0.42,0.4,0.0
18,Oman,4.91,4.91,4.95,4.94,3.41,3.39,3.46,3.72,1.9,1.92,1.82,1.77,3.12,3.11,3.29,2.99,0.49,0.49,0.51,0.42,3.142116236
19,Libya,4.84,4.9,4.51,4.83,2.77,2.81,2.5,2.81,0.03,0.02,0.06,0.05,2.66,2.74,2.23,2.69,1.44,1.48,1.22,1.5,
20,Israel,4.83,4.81,4.86,4.79,2.04,2.09,1.91,2.15,2.89,2.9,2.87,2.91,2.72,2.76,2.65,2.71,3.02,3.04,3.02,2.92,0.0
21,Kyrgyzstan,4.82,4.82,4.91,4.89,2.32,2.31,2.41,2.37,2.12,2.12,2.28,2.11,2.39,2.39,2.43,2.42,2.67,2.66,2.8,2.67,3.023075027
