,country,variable,1998-2002,2003-2007,2008-2012,2013-2017
0,Afghanistan,Rural population (1000 inhab),17086.91,20464.923,23280.663,26558.609
1,Afghanistan,Urban population (1000 inhab),4893.013,6151.869,7416.295,8971.472
2,Afghanistan,Population density (inhab/km2),34.6180957633,41.5104861686,47.73056398,55.5955534111
3,Afghanistan,GDP per capita (current US$/inhab),194.958382,389.985586,694.885618,605.557362
4,Afghanistan,Human Development Index (HDI) [highest = 1] (-),0.378,0.431,0.479,0.493
5,Afghanistan,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.7338,0.71,0.6934
6,Afghanistan,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),899.0304312641,751.7526590618,653.7869187805,561.2970182234
7,Afghanistan,Total population with access to safe drinking-water (JMP) (%),33.8,42.6,51.6,55.3
8,Afghanistan,Rural population with access to safe drinking-water (JMP) (%),27.6,35.6,43.7,47.0
9,Afghanistan,Urban population with access to safe drinking-water (JMP) (%),55.9,65.2,74.5,78.2
11,Albania,Rural population (1000 inhab),1762.229,1545.166,1333.585,1190.155
12,Albania,Urban population (1000 inhab),1356.8,1478.741,1586.454,1740.032
13,Albania,Population density (inhab/km2),108.7369391304,105.5303652174,101.3598608696,104.0089794446
14,Albania,GDP per capita (current US$/inhab),1396.545492,3530.969114,4219.046254,4445.132198
15,Albania,Human Development Index (HDI) [highest = 1] (-),0.68,0.718,0.771,0.789
16,Albania,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.3278,0.253,0.2174
17,Albania,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),531.9963265153,417.9435846695,410.2095469744,492.2735110183
18,Albania,Total population with access to safe drinking-water (JMP) (%),96.1,95.9,95.4,95.1
19,Albania,Rural population with access to safe drinking-water (JMP) (%),93.5,94.2,94.9,95.2
20,Albania,Urban population with access to safe drinking-water (JMP) (%),99.5,97.6,95.7,94.9
22,Algeria,Rural population (1000 inhab),12317.847,11885.693,11677.502,11547.532
23,Algeria,Urban population (1000 inhab),19677.199,22414.383,25888.345,29770.61
24,Algeria,Population density (inhab/km2),13.3747214222,14.3453827874,15.6960436488,17.3777108333
25,Algeria,GDP per capita (current US$/inhab),1775.875268,3935.183362,5565.136948,4051.244377
26,Algeria,Human Development Index (HDI) [highest = 1] (-),0.666,0.708,0.737,0.758
27,Algeria,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5934,0.5332,0.4516666667,0.4131
28,Algeria,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),190.2553860546,211.9825845352,225.364424975,252.7713215159
29,Algeria,Total population with access to safe drinking-water (JMP) (%),88.8,87.0,84.9,83.6
30,Algeria,Rural population with access to safe drinking-water (JMP) (%),83.7,83.0,82.2,81.8
31,Algeria,Urban population with access to safe drinking-water (JMP) (%),92.0,89.1,86.1,84.3
66,Argentina,Rural population (1000 inhab),3974.741,3850.764,3737.979,3652.804
67,Argentina,Urban population (1000 inhab),33914.629,36119.46,38358.76,40618.237
68,Argentina,Population density (inhab/km2),13.5526359517,14.2728726083,15.017693857,15.8024528845
69,Argentina,GDP per capita (current US$/inhab),2918.591423,7249.274928,13811.780157,14517.291248
70,Argentina,Human Development Index (HDI) [highest = 1] (-),0.77,0.806,0.823,0.832
71,Argentina,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.4074,0.3822,0.382,0.3756
72,Argentina,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),843.6279059128,884.9218563666,904.7975729775,859.8647977542
73,Argentina,Total population with access to safe drinking-water (JMP) (%),96.7,97.7,98.6,99.1
74,Argentina,Rural population with access to safe drinking-water (JMP) (%),83.7,90.0,96.2,100.0
75,Argentina,Urban population with access to safe drinking-water (JMP) (%),98.2,98.5,98.8,99.0
77,Armenia,Rural population (1000 inhab),1085.046,1063.546,1059.405,1081.248
78,Armenia,Urban population (1000 inhab),1948.851,1869.51,1822.517,1849.202
79,Armenia,Population density (inhab/km2),102.0167451244,98.6085406859,96.9816408877,99.0178547411
80,Armenia,GDP per capita (current US$/inhab),835.283238,3347.296067,3684.805034,3933.682101
81,Armenia,Human Development Index (HDI) [highest = 1] (-),0.663,0.724,0.737,0.758
82,Armenia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.4316,0.37,0.329,0.3176
83,Armenia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),571.3291263154,962.6211119212,1019.6814821544,973.1760250558
84,Armenia,Total population with access to safe drinking-water (JMP) (%),93.7,96.7,99.7,100.0
85,Armenia,Rural population with access to safe drinking-water (JMP) (%),84.7,92.0,99.4,100.0
86,Armenia,Urban population with access to safe drinking-water (JMP) (%),98.7,99.3,99.8,100.0
88,Australia,Rural population (1000 inhab),3072.827,3179.302,3331.639,3446.638
89,Australia,Urban population (1000 inhab),16402.364,17767.362,19490.21,21003.923
90,Australia,Population density (inhab/km2),2.5062416518,2.701944138,2.9587000499,3.1758069142
91,Australia,GDP per capita (current US$/inhab),22344.906046,47030.849175,69701.081584,57917.093685
92,Australia,Human Development Index (HDI) [highest = 1] (-),0.903,0.908,0.932,0.937
93,Australia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1504,0.137,0.12,0.1101
94,Australia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1080.6325615802,784.6256496833,699.3990730332,673.3478085079
95,Australia,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
96,Australia,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
97,Australia,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
99,Austria,Rural population (1000 inhab),3281.833,3470.218,3650.043,3660.707
100,Austria,Urban population (1000 inhab),4852.579,4841.565,4867.505,5074.746
101,Austria,Population density (inhab/km2),96.9767763472,99.1146518836,101.3617906533,105.1502879147
102,Austria,GDP per capita (current US$/inhab),26232.686226,46761.506621,48068.438729,47887.17438
103,Austria,Human Development Index (HDI) [highest = 1] (-),0.838,0.881,0.899,0.912
104,Austria,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1476,0.1258,0.0776666667,0.0528
105,Austria,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),440.0359034351,411.1279587293,410.7276834646,395.9341493742
106,Austria,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
107,Austria,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
108,Austria,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
132,Bahrain,Rural population (1000 inhab),85.478,119.256,146.117,161.409
133,Bahrain,Urban population (1000 inhab),649.67,916.635,1154.1,1331.175
134,Bahrain,Population density (inhab/km2),1035.4169014084,1381.2253333333,1688.238961039,1915.482051282
135,Bahrain,GDP per capita (current US$/inhab),13049.765634,20977.122529,23649.385091,23739.143918
136,Bahrain,Human Development Index (HDI) [highest = 1] (-),0.792,0.796,0.8,0.839
137,Bahrain,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.3128,0.2593333333,0.2649
138,Bahrain,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),481.2021641332,370.0008486097,319.748039496,290.7482618019
139,Bahrain,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
140,Bahrain,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
141,Bahrain,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
154,Barbados,Rural population (1000 inhab),180.72,186.537,192.736,196.693
155,Barbados,Urban population (1000 inhab),90.758,89.613,88.849,89.026
156,Barbados,Population density (inhab/km2),635.8720930233,648.1395348837,659.7697674419,665.6558139535
157,Barbados,GDP per capita (current US$/inhab),11789.822696,16925.583922,16371.951613,17423.251128
158,Barbados,Human Development Index (HDI) [highest = 1] (-),0.774,0.796,0.811,0.813
159,Barbados,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.3544,0.3522,0.3523333333,0.357
160,Barbados,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),296.2421139252,290.6350914962,285.5118593167,282.9872271444
161,Barbados,Total population with access to safe drinking-water (JMP) (%),97.9,98.7,99.4,99.7
162,Barbados,Rural population with access to safe drinking-water (JMP) (%),97.9,98.7,99.4,99.7
163,Barbados,Urban population with access to safe drinking-water (JMP) (%),97.9,98.7,99.4,99.7
176,Belgium,Rural population (1000 inhab),285.916,266.907,250.039,233.097
177,Belgium,Urban population (1000 inhab),10078.969,10430.928,10833.511,11196.239
178,Belgium,Population density (inhab/km2),339.4983622666,350.3954143465,363.0972158533,374.050049132
179,Belgium,GDP per capita (current US$/inhab),24811.613253,43962.176891,44767.358857,44118.925664
180,Belgium,Human Development Index (HDI) [highest = 1] (-),0.879,0.899,0.905,0.917
181,Belgium,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.1154,0.0996,0.0763333333,0.0633
182,Belgium,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),650.0795715534,581.1879555473,450.5041695541,349.7450206432
183,Belgium,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
184,Belgium,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
185,Belgium,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
187,Belize,Rural population (1000 inhab),143.26,163.292,184.356,203.824
188,Belize,Urban population (1000 inhab),118.946,135.115,152.345,170.857
189,Belize,Population density (inhab/km2),11.4226382238,13.018067044,14.7148454506,16.3591205921
190,Belize,GDP per capita (current US$/inhab),3528.001707,4261.293912,4523.003466,4901.752333
191,Belize,Human Development Index (HDI) [highest = 1] (-),0.655,0.678,0.706,0.719
192,Belize,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.5106,0.4742,0.4406666667,0.4257
193,Belize,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),384.9408105863,337.7644009698,298.8165680473,268.7821507362
194,Belize,Total population with access to safe drinking-water (JMP) (%),87.5,93.5,99.3,99.5
