,Country,Temp,Rain,IRWR,ERWR,TRWR,Dep_ratio
0,AFG,14.074741986301369,349.73694499999993,47.15,18.18,65.33,0.2782795040563294
1,AGO,22.18219589041096,960.0240649999998,148.0,0.4,148.4,0.0026954177897574125
2,ALB,12.754647280821917,1079.4591675000001,26.9,3.3,30.2,0.10927152317880795
3,AND,12.402212219178082,760.241065,0.3156,0.0,0.3156,0.0
4,ARE,28.010773082191783,64.449765,0.15,0.0,0.15,0.0
5,ARG,14.767043253424657,598.5103,292.0,584.24,876.24,0.6667579658541039
6,ARM,8.360129623287671,569.1546925,6.859,0.91,7.769,0.11713219204530828
7,ATG,26.387957945205482,2260.2700250000003,0.052,0.0,0.052,0.0
8,AUS,22.41596212328767,453.8245275,492.0,0.0,492.0,0.0
9,AUT,7.871274650684932,1286.477975,55.0,22.7,77.7,0.29214929214929214
10,AZE,12.93874901369863,432.42826499999995,8.115,26.56,34.675,0.7659697188175919
11,BDI,20.900369589041098,1323.752635,10.06,2.476,12.536000000000001,0.19751116783663047
12,BEL,10.949810801369864,852.3726000000001,12.0,6.3,18.3,0.3442622950819672
13,BEN,28.22055047945205,959.9518150000001,10.3,16.09,26.39,0.6097006441834028
14,BFA,28.94409589041096,822.1993124999999,12.5,1.0,13.5,0.07407407407407407
15,BGD,25.01892184931507,2187.6957175000002,105.0,1122.032,1227.032,0.9144276595883399
16,BGR,12.087761431506848,723.6016500000001,21.0,0.3,21.3,0.01408450704225352
17,BHR,28.40404061643836,50.633660000000006,0.004,0.112,0.116,0.9655172413793103
18,BHS,25.862615753424656,1333.403375,0.7,0.0,0.7,0.0
19,BIH,11.219934260273972,1210.425785,35.5,2.0,37.5,0.05333333333333334
20,BLR,8.17126509589041,614.13975,34.0,23.9,57.9,0.41278065630397237
21,BLZ,26.00738993150685,2212.026475,15.26,6.474,21.734,0.29787429833440693
22,BOL,21.073422739726027,1085.3162975,303.5,270.5,574.0,0.4712543554006969
23,BRA,25.91175205479452,1684.0862499999998,5661.0,2986.0,8647.0,0.3453220770209321
24,BRB,26.892325890410962,2057.8435,0.08,0.0,0.08,0.0
25,BRN,25.985401986301373,3057.463125,8.5,0.0,8.5,0.0
26,BTN,12.309545636986302,1848.9748225,78.0,0.0,78.0,0.0
27,BWA,22.521169452054796,347.47824999999995,2.4,9.84,12.24,0.8039215686274509
28,CAF,25.54932993150685,1401.7821,141.0,0.0,141.0,0.0
29,CAN,-5.803339260273972,454.4912,2850.0,52.0,2902.0,0.01791867677463818
30,CHE,7.3118574452054785,1530.3232125,40.4,13.1,53.5,0.24485981308411214
31,CHL,8.738056047945205,533.692175,885.0,38.06,923.06,0.04123242259441424
32,CHN,7.361072273972603,600.878745,2812.9,27.32,2840.2200000000003,0.009618973178134087
33,CIV,26.933811164383563,1267.33124,76.84,7.3,84.14,0.08676016163536962
34,CMR,25.10221212328767,1522.362615,273.0,10.15,283.15,0.035846724351050685
35,COD,24.635187602739727,1511.4134,900.0,383.0,1283.0,0.2985190958690569
36,COG,25.053834589041095,1567.87725,222.0,610.0,832.0,0.7331730769230769
37,COK,,,0.0,0.0,0.0,
38,COL,25.223781164383567,2257.236175,2145.0,215.0,2360.0,0.09110169491525423
39,COM,25.85504835616438,1621.9807625,1.2,0.0,1.2,0.0
40,CPV,23.55615493150685,393.29715000000004,0.3,0.0,0.3,0.0
41,CRI,25.204336712328768,2507.8587,113.0,0.0,113.0,0.0
42,CUB,26.201147945205477,1274.7027899999998,38.12,0.0,38.12,0.0
43,CYP,20.091066575342467,408.5570425,0.78,0.0,0.78,0.0
44,CZE,9.524644486301371,691.40975,13.15,0.0,13.15,0.0
45,DEU,9.999083719178081,692.235625,107.0,47.0,154.0,0.3051948051948052
46,DJI,28.74427301369863,292.17411,0.3,0.0,0.3,0.0
47,DMA,25.174624794520547,3019.56815,0.2,0.0,0.2,0.0
48,DNK,9.29282962328767,763.6961,6.0,0.0,6.0,0.0
49,DOM,24.821171301369866,1412.7378,23.5,0.0,23.5,0.0
50,DZA,23.780693698630138,75.9708775,11.247,0.42,11.667,0.03599897145795834
51,ECU,22.080744520547945,2197.8635,442.4,0.0,442.4,0.0
52,EGY,23.557630821917808,33.393952500000005,1.0,56.5,57.5,0.9826086956521739
53,ERI,27.428856986301366,292.691375,2.8,4.515,7.3149999999999995,0.6172248803827751
54,ESP,14.287639267123286,597.64311,111.2,0.3,111.5,0.0026905829596412553
55,EST,6.910828828767123,633.031375,12.71,0.096,12.806000000000001,0.007496486022177104
56,ETH,23.598162534246576,903.7436950000001,122.0,0.0,122.0,0.0
57,FIN,3.370409397260274,563.5564749999999,107.0,3.0,110.0,0.02727272727272727
58,FJI,24.38014808219178,2546.66605,28.55,0.0,28.55,0.0
59,FRA,11.920604787671234,844.6999750000001,200.0,11.0,211.0,0.052132701421800945
60,FRO,7.1392738356164385,1684.720425,0.0,0.0,0.0,
61,FSM,27.62243404109589,3551.91725,0.0,0.0,0.0,
62,GAB,25.484383493150688,1740.9415625000001,164.0,2.0,166.0,0.012048192771084338
63,GBR,9.28962748630137,1279.1838,145.0,2.0,147.0,0.013605442176870748
64,GEO,7.566423965753424,953.4797250000001,58.13,5.2,63.330000000000005,0.082109584714985
65,GHA,27.92357178082192,1106.66559,30.3,25.9,56.2,0.46085409252669035
66,GIN,26.411752397260276,1721.656965,226.0,0.0,226.0,0.0
67,GMB,28.144223698630135,1017.5695049999999,3.0,5.0,8.0,0.625
68,GNB,27.652237191780824,1565.2610325,16.0,15.4,31.4,0.4904458598726115
69,GNQ,25.072715821917807,1900.57055,26.0,0.0,26.0,0.0
70,GRC,14.866988671232876,710.1073799999999,58.0,10.4,68.4,0.15204678362573099
71,GRD,27.45090547945206,1409.4109,0.2,0.0,0.2,0.0
72,GRL,-16.45727130136986,625.4061999999999,0.0,0.0,0.0,
73,GTM,24.332812876712328,2729.28455,109.2,18.71,127.91,0.14627472441560474
74,GUY,26.326136164383563,2029.923175,241.0,30.0,271.0,0.11070110701107011
75,HND,24.299259931506846,1830.1704,90.66,1.504,92.164,0.01631873616596502
76,HRV,12.131883287671233,1205.1331825,37.7,67.8,105.5,0.6426540284360189
77,HTI,25.410604520547942,1319.8969124999999,13.007,1.015,14.022,0.07238625017829124
78,HUN,11.71457301369863,681.818525,6.0,98.0,104.0,0.9423076923076923
79,IDN,26.519829931506848,2823.8961,2018.7,0.0,2018.7,0.0
80,IND,24.65115,1071.02353,1446.0,464.9,1910.9,0.24328850279972786
81,IRL,9.742291671232875,1207.75735,49.0,3.0,52.0,0.057692307692307696
82,IRN,18.392765006849316,188.35735499999998,128.5,8.545,137.045,0.06235178226130104
83,IRQ,22.76257552739726,167.883335,35.2,54.66,89.86,0.6082795459603828
84,ISL,2.689107712328767,1177.55945,170.0,0.0,170.0,0.0
85,ISR,20.80593616438356,241.28718750000002,0.75,1.03,1.78,0.5786516853932584
86,ITA,13.156532705479453,921.166775,182.5,8.8,191.3,0.04600104547830633
87,JAM,25.857328561643836,1596.101175,10.823,0.0,10.823,0.0
88,JOR,19.926929034246577,103.37266000000001,0.682,0.255,0.937,0.272145144076841
89,JPN,11.676273568493151,1745.9988000000003,430.0,0.0,430.0,0.0
90,KAZ,7.431975828767124,303.11685,64.35,44.06,108.41,0.4064200719490822
91,KEN,25.464064452054792,717.8869500000001,20.7,10.0,30.7,0.32573289902280134
92,KGZ,3.621338931506849,424.7566075,48.93,-25.312,23.618,-1.0717249555423831
93,KHM,27.72929801369863,1832.227465,120.6,355.5,476.1,0.7466918714555765
94,KIR,27.50535726027397,1163.4982,0.0,0.0,0.0,
95,KNA,25.458872465753423,2102.458575,0.024,0.0,0.024,0.0
96,KOR,9.271654671232877,2200.86473,64.85,4.85,69.69999999999999,0.06958393113342899
97,KWT,26.466626027397258,94.38345749999999,0.0,0.02,0.02,1.0
98,LAO,24.176330342465754,1765.512565,190.4,143.1,333.5,0.4290854572713643
99,LBN,17.052673938356165,498.17714749999993,4.8,-0.297,4.503,-0.0659560293137908
100,LBR,25.883154246575344,2514.8216500000003,200.0,32.0,232.0,0.13793103448275862
101,LBY,23.137069178082193,33.59811,0.7,0.0,0.7,0.0
102,LCA,26.624186575342467,2317.668025,0.3,0.0,0.3,0.0
103,LIE,4.129036390410959,1788.4863074999998,0.0,0.0,0.0,
104,LKA,27.470805684931506,1651.1756900000003,52.8,0.0,52.8,0.0
105,LSO,13.982704246575342,553.38224,5.23,-2.208,3.0220000000000002,-0.7306419589675711
106,LTU,7.983208767123288,651.181775,15.46,9.04,24.5,0.3689795918367347
107,LUX,10.352624739726028,912.529675,1.0,2.5,3.5,0.7142857142857143
108,LVA,7.390989356164384,645.002565,16.94,18.0,34.94,0.5151688609044076
109,MAR,18.529926589041096,264.26895,29.0,0.0,29.0,0.0
110,MCO,10.92820332191781,1006.639925,0.0,0.0,0.0,
111,MDA,11.204427657534247,525.2204575,1.62,10.65,12.27,0.8679706601466993
112,MDG,22.810314109589036,1380.064495,337.0,0.0,337.0,0.0
113,MDV,28.603013698630136,2365.0,0.03,0.0,0.03,0.0
114,MEX,21.443108972602744,827.588575,409.0,52.888,461.888,0.11450394900928364
115,MHL,28.301931506849314,2741.8415,0.0,0.0,0.0,
116,MKD,11.213220383561644,758.307045,5.4,1.0,6.4,0.15625
117,MLI,29.08437616438356,327.343455,60.0,60.0,120.0,0.5
118,MLT,19.952619383561643,391.02576,0.0505,0.0,0.0505,0.0
119,MMR,23.35110089041096,1933.6514750000001,1002.8,165.0,1167.8,0.1412913170063367
120,MNE,10.380399698630136,1278.163305,0.0,0.0,0.0,
121,MNG,1.1602792260273973,232.33937499999996,34.8,0.0,34.8,0.0
122,MNP,28.033331164383565,7798.191,0.0,0.0,0.0,
