,Country,WS_MDG,WUE_SDG,WS_SDG,Temp,Rain,IRWR,ERWR,TRWR,Dep_ratio,HDI,r_u,r_u_access,pop_growth,mort_rate,GDP_pcp,life_ex
0,AFG,31.0454615031,0.9237777733,54.7570194384,14.074741986301369,349.73694499999993,47.15,18.18,65.33,0.2782795040563294,0.493,2.9603401760602943,0.6010230179028133,3.06,53.2,2226.0,63.4
1,AGO,0.4755390836,142.4678361857,1.8718832891,22.18219589041096,960.0240649999998,148.0,0.4,148.4,0.0026954177897574125,0.576,0.5422923450464251,0.37400530503978774,3.44,58.6,7859.4,59.2
2,ALB,3.9337748344,6.6569071373,7.1394230769,12.754647280821917,1079.4591675000001,26.9,3.3,30.2,0.10927152317880795,0.789,0.6839845474106223,1.0031612223393045,-0.19999999999999998,8.6,12227.4,78.0
3,ARE,1708.0,92.7737627503,1708.0,28.010773082191783,64.449765,0.15,0.0,0.15,0.0,0.864,0.1594473271204361,1.0040160642570282,0.74,7.0,64243.0,77.2
4,ARG,4.3013329681,13.6165637946,10.4566640772,14.767043253424657,598.5103,292.0,584.24,876.24,0.6667579658541039,0.832,0.0899301464019721,1.0101010101010102,1.08,10.2,23732.2,76.0
5,ARM,36.8773329901,3.2605190122,57.7970546702,8.360129623287671,569.1546925,6.859,0.91,7.769,0.11713219204530828,0.758,0.5847105940832856,1.0,0.43999999999999995,13.0,11290.0,74.4
7,AUS,3.2408536585,72.2797509034,6.4113389626,22.41596212328767,453.8245275,492.0,0.0,492.0,0.0,0.937,0.1640949645454328,1.0,1.5799999999999998,3.2,48074.8,82.2
9,AZE,36.8611391492,3.6654715287,56.4433649812,12.93874901369863,432.42826499999995,8.115,26.56,34.675,0.7659697188175919,0.752,0.8068988252460135,0.8215417106652586,1.1600000000000001,23.6,14548.6,72.2
10,BDI,2.2343650287,6.1420784432,10.19286754,20.900369589041098,1323.752635,10.06,2.476,12.536000000000001,0.19751116783663047,0.421,6.870257414783058,0.8100987925356751,3.16,46.2,831.4,60.2
11,BEL,21.825136612,106.0715151741,49.0663390663,10.949810801369864,852.3726000000001,12.0,6.3,18.3,0.3442622950819672,0.917,0.020819223312399816,1.0,0.48,3.0,49443.4,81.0
12,BEN,0.4926108374,27.2619013336,0.975243811,28.22055047945205,959.9518150000001,10.3,16.09,26.39,0.6097006441834028,0.515,1.1382148322270154,0.846244131455399,2.8,64.4,2961.0,60.6
13,BFA,6.0496296296,11.1413959279,7.8078393881,28.94409589041096,822.1993124999999,12.5,1.0,13.5,0.07407407407407407,0.429,2.4791229587092354,0.7774358974358974,2.9400000000000004,59.8,1958.0,59.8
14,BGD,2.9233141434,5.7151948158,5.7233394816,25.01892184931507,2187.6957175000002,105.0,1122.032,1227.032,0.9144276595883399,0.609,1.7887997453139644,1.0057803468208093,1.1199999999999999,30.8,3728.4,71.6
15,BGR,26.5633802817,7.9300789841,41.8212728213,12.087761431506848,723.6016500000001,21.0,0.3,21.3,0.01408450704225352,0.813,0.33924926043822284,0.9939759036144579,-0.64,7.0,19690.6,74.8
16,BHR,133.7068965517,76.2135198629,133.7068965517,28.40404061643836,50.633660000000006,0.004,0.112,0.116,0.9655172413793103,0.839,0.12125302833962477,1.0,2.8,6.6,47840.0,76.8
19,BLZ,0.4647096715,13.2831854041,1.2602944847,26.00738993150685,2212.026475,15.26,6.474,21.734,0.29787429833440693,0.719,1.1929508302264467,1.0111223458038423,2.12,13.2,7161.0,73.8
20,BOL,0.3637630662,13.1286201198,1.1770011274,21.073422739726027,1085.3162975,303.5,270.5,574.0,0.4712543554006969,0.7,0.44759704209015855,0.7817993795243019,1.5,25.2,7957.2,70.2
21,BRA,0.759569793,22.0105277007,3.1054373522,25.91175205479452,1684.0862499999998,5661.0,2986.0,8647.0,0.3453220770209321,0.76,0.1586325182687774,0.87,0.8400000000000001,14.4,15113.8,74.8
22,BRB,87.5,52.0969395628,87.5,26.892325890410962,2057.8435,0.08,0.0,0.08,0.0,0.813,2.2093882685956916,1.0,0.2,13.0,15408.0,79.0
25,BWA,1.5767973856,71.3695564556,2.0181951271,22.521169452054796,347.47824999999995,2.4,9.84,12.24,0.8039215686274509,0.724,0.4556041746195782,0.9304435483870968,1.56,31.6,17026.8,67.0
26,CAF,0.0514184397,16.8325209238,0.3356481481,25.54932993150685,1401.7821,141.0,0.0,141.0,0.0,0.376,1.4402249430807272,0.6071428571428572,0.72,89.8,859.6,50.8
27,CAN,1.2312198484,41.6896946026,3.6797116375,-5.803339260273972,454.4912,2850.0,52.0,2902.0,0.01791867677463818,0.921,0.22924969388076355,0.99,1.02,4.8,47774.4,82.0
29,CHL,3.8316035794,6.4085616838,8.982121089,8.738056047945205,533.692175,885.0,38.06,923.06,0.04123242259441424,0.845,0.14298138637168203,0.9358074222668004,1.2,6.8,23521.8,79.8
30,CHN,20.8364140806,20.9881623416,43.2216882605,7.361072273972603,600.878745,2812.9,27.32,2840.2200000000003,0.009618973178134087,0.753,0.7088889369083905,0.9538461538461539,0.52,9.4,12718.2,75.8
31,CIV,1.381031614,23.1673220233,5.0875656743,26.933811164383563,1267.33124,76.84,7.3,84.14,0.08676016163536962,0.512,0.987046564108,0.7389903329752954,2.5,65.4,4389.8,56.2
32,CMR,0.3843898993,23.855363935,1.5604301075,25.10221212328767,1522.362615,273.0,10.15,283.15,0.035846724351050685,0.56,0.7928416997620176,0.5559071729957806,2.68,57.4,3432.8,57.8
33,COD,0.0532813718,44.6133404193,0.2268835048,24.635187602739727,1511.4134,900.0,383.0,1283.0,0.2985190958690569,0.456,1.2789172054183884,0.38471023427866835,3.3,74.0,1036.6,59.2
34,COG,0.0055288462,97.1994583456,0.0274463007,25.053834589041095,1567.87725,222.0,610.0,832.0,0.7331730769230769,0.609,0.5046930577754082,0.4175365344467641,2.5,38.8,3659.0,63.2
35,COL,0.5763519361,19.0300557919,2.036213427,25.223781164383567,2257.236175,2145.0,215.0,2360.0,0.09110169491525423,0.76,0.24307705458502965,0.762396694214876,1.2,13.4,14081.6,76.6
36,COM,0.8333333333,69.4633488751,0.8333333333,25.85504835616438,1621.9807625,1.2,0.0,1.2,0.0,0.539,2.4742031732209857,0.9622030237580993,2.34,54.2,2996.4,63.4
37,CPV,8.4333333333,51.273832909,8.4333333333,23.55615493150685,393.29715000000004,0.3,0.0,0.3,0.0,0.647,0.5323013068596107,0.9287234042553191,1.24,17.0,6399.6,72.2
38,CRI,2.8265486726,16.3845904461,5.4505119454,25.204336712328768,2507.8587,113.0,0.0,113.0,0.0,0.792,0.27291774996912266,0.922690763052209,1.08,8.0,18097.6,79.6
40,CYP,27.6923076923,60.4155831093,29.5243302351,20.091066575342467,408.5570425,0.78,0.0,0.78,0.0,0.871,0.496210482787664,1.0,0.7799999999999999,2.2,35011.8,80.4
42,DEU,15.8720779221,128.5673392139,33.5019188596,9.999083719178081,692.235625,107.0,47.0,154.0,0.3051948051948052,0.938,0.2943170692078342,1.0,0.56,3.0,51359.0,80.8
45,DNK,12.3516666667,368.6129020919,20.0405624662,9.29282962328767,763.6961,6.0,0.0,6.0,0.0,0.929,0.13951303566672893,1.0,0.6000000000000001,3.8,53234.6,80.8
46,DOM,38.6293617021,7.5061693346,50.3097982709,24.821171301369866,1412.7378,23.5,0.0,23.5,0.0,0.741,0.24568680718275615,0.9590163934426229,1.14,26.0,15286.4,73.2
47,DZA,84.0147424359,14.3546195882,137.9203602082,23.780693698630138,75.9708775,11.247,0.42,11.667,0.03599897145795834,0.758,0.38788362079245264,0.970344009489917,2.02,21.6,11433.6,76.0
