,Country,rural_pop,urban_pop,HDI,r_u,r_u_access,pop_growth,mort_rate,GDP_pcp,life_ex
0,AFG,26558.609,8971.472,0.493,2.9603401760602943,0.6010230179028133,3.06,53.2,2226.0,63.4
1,AGO,10472.554,19311.639,0.576,0.5422923450464251,0.37400530503978774,3.44,58.6,7859.4,59.2
2,ALB,1190.155,1740.032,0.789,0.6839845474106223,1.0031612223393045,-0.19999999999999998,8.6,12227.4,78.0
3,ARE,1292.709,8107.436,0.864,0.1594473271204361,1.0040160642570282,0.74,7.0,64243.0,77.2
4,ARG,3652.804,40618.237,0.832,0.0899301464019721,1.0101010101010102,1.08,10.2,23732.2,76.0
5,ARM,1081.248,1849.202,0.758,0.5847105940832856,1.0,0.43999999999999995,13.0,11290.0,74.4
6,AUS,3446.638,21003.923,0.937,0.1640949645454328,1.0,1.5799999999999998,3.2,48074.8,82.2
7,AZE,4388.663,5438.926,0.752,0.8068988252460135,0.8215417106652586,1.1600000000000001,23.6,14548.6,72.2
8,BDI,9483.827,1380.418,0.421,6.870257414783058,0.8100987925356751,3.16,46.2,831.4,60.2
9,BEL,233.097,11196.239,0.917,0.020819223312399816,1.0,0.48,3.0,49443.4,81.0
10,BEN,5949.046,5226.646,0.515,1.1382148322270154,0.846244131455399,2.8,64.4,2961.0,60.6
11,BFA,13676.652,5516.73,0.429,2.4791229587092354,0.7774358974358974,2.9400000000000004,59.8,1958.0,59.8
12,BGD,105622.933,59046.818,0.609,1.7887997453139644,1.0057803468208093,1.1199999999999999,30.8,3728.4,71.6
13,BGR,1794.614,5289.957,0.813,0.33924926043822284,0.9939759036144579,-0.64,7.0,19690.6,74.8
14,BHR,161.409,1331.175,0.839,0.12125302833962477,1.0,2.8,6.6,47840.0,76.8
15,BHS,67.508,327.853,0.804,0.20590935571734892,1.0,0.9800000000000001,11.8,35759.4,73.2
16,BLZ,203.824,170.857,0.719,1.1929508302264467,1.0111223458038423,2.12,13.2,7161.0,73.8
17,BOL,3417.155,7634.445,0.7,0.44759704209015855,0.7817993795243019,1.5,25.2,7957.2,70.2
