Country,WS_MDG,WUE_SDG,WS_SDG
AFG,31.0454615031,0.9237777733,54.7570194384
AGO,0.4755390836,142.4678361857,1.8718832891
ALB,3.9337748344,6.6569071373,7.1394230769
ARE,1708.0,92.7737627503,1708.0
ARG,4.3013329681,13.6165637946,10.4566640772
ARM,36.8773329901,3.2605190122,57.7970546702
ATG,8.4615384615,109.8390234755,8.4615384615
AUS,3.2408536585,72.2797509034,6.4113389626
AUT,4.4916344916,100.732937341,9.6435479414
AZE,36.8611391492,3.6654715287,56.4433649812
BDI,2.2343650287,6.1420784432,10.19286754
BEL,21.825136612,106.0715151741,49.0663390663
BEN,0.4926108374,27.2619013336,0.975243811
BFA,6.0496296296,11.1413959279,7.8078393881
BGD,2.9233141434,5.7151948158,5.7233394816
BGR,26.5633802817,7.9300789841,41.8212728213
BHR,133.7068965517,76.2135198629,133.7068965517
BIH,1.0690666667,,2.6620185923
BLR,2.4127806563,32.0274132721,4.6044825313
BLZ,0.4647096715,13.2831854041,1.2602944847
BOL,0.3637630662,13.1286201198,1.1770011274
BRA,0.759569793,22.0105277007,3.1054373522
BRB,87.5,52.0969395628,87.5
BRN,1.0823529412,,3.4664657121
BTN,0.4332051282,5.8605246927,1.4138075314
BWA,1.5767973856,71.3695564556,2.0181951271
CAF,0.0514184397,16.8325209238,0.3356481481
CAN,1.2312198484,41.6896946026,3.6797116375
CHE,3.241,390.4934881887,6.613
CHL,3.8316035794,6.4085616838,8.982121089
CHN,20.8364140806,20.9881623416,43.2216882605
CIV,1.381031614,23.1673220233,5.0875656743
CMR,0.3843898993,23.855363935,1.5604301075
COD,0.0532813718,44.6133404193,0.2268835048
COG,0.0055288462,97.1994583456,0.0274463007
COL,0.5763519361,19.0300557919,2.036213427
COM,0.8333333333,69.4633488751,0.8333333333
CPV,8.4333333333,51.273832909,8.4333333333
CRI,2.8265486726,16.3845904461,5.4505119454
CUB,18.2528856243,12.3331413799,23.9394460692
CYP,27.6923076923,60.4155831093,29.5243302351
CZE,12.3954372624,107.4473575707,24.7871046229
DEU,15.8720779221,128.5673392139,33.5019188596
DJI,6.3333333333,,6.3333333333
DMA,10.0,,10.0
DNK,12.3516666667,368.6129020919,20.0405624662
DOM,38.6293617021,7.5061693346,50.3097982709
DZA,84.0147424359,14.3546195882,137.9203602082
ECU,2.2413652803,9.0289081079,6.7823529412
EGY,111.652173913,4.3793207123,116.9398907104
ERI,7.956254272,6.872905433,11.1751152074
ESP,28.0035874439,35.9778306422,42.5685071575
EST,13.9309698579,11.8218249353,19.3073593074
ETH,8.6459836066,4.3175479307,32.2571865443
FIN,5.9654545455,111.8047093322,15.5608252312
FJI,0.2973730298,40.9497071917,0.2973730298
FRA,12.5289099526,83.6245175571,23.1427821063
GAB,0.0837951807,94.789870708,0.502166065
GBR,5.7272108844,319.7364281786,14.3546462063
GEO,2.8785725565,7.3503286561,5.9381107492
GHA,2.5775800712,27.5775345799,6.3147340889
GIN,0.2539823009,14.2306232806,0.8830769231
GMB,1.27,10.3608805542,2.2096563723
GNB,0.5573248408,2.891567776,1.4957264957
GNQ,0.0761538462,,0.1835032437
GRC,16.432748538,15.1861517774,22.73922719
GRD,7.05,,7.05
GTM,2.5987803925,18.3679141238,5.7420970807
GUY,0.533099631,1.929147117,3.2984018265
HND,1.7436309188,11.9897935352,4.621268764
HRV,0.6378199052,58.9684674427,1.4959982214
HTI,10.3408928826,4.8938857936,13.3837917667
HUN,4.3259615385,23.8802030073,7.7702936097
IDN,11.0286322881,3.7451909947,29.6965452848
IND,33.884557015,2.8205828554,66.4920928322
IRL,1.4557692308,349.7670678397,3.6429258903
IRN,67.8244372286,4.7738501906,81.2890812891
IRQ,42.8867126641,4.7404929428,54.1264044944
ISL,0.1705882353,58.3389890583,0.394075282
ISR,67.3033707865,125.6368320973,103.3560521094
ITA,17.7970203868,48.9952720575,29.9988545246
JAM,12.4734362007,8.6475708689,12.4734362007
JOR,96.4354322305,34.9820439571,100.0775279654
JPN,18.8888372093,54.7994685787,37.3434482759
KAZ,20.7084217323,7.13553973,31.1373092926
KEN,13.1335504886,10.5512866833,33.2399010717
KGZ,32.6318909306,0.836195637,50.0389559797
KHM,0.4587271582,6.9997469468,1.0365448505
KNA,50.8333333333,,50.8333333333
KOR,41.8895265423,52.4450097826,85.2218330414
KWT,3850.5,102.4355359609,3850.5
LAO,2.1949025487,1.7460735068,4.7718383312
LBN,40.2398401066,25.6401206686,58.7929915639
LBR,0.062887931,4.1369839358,0.2643115942
LBY,817.1428571429,3.7931078666,817.1428571429
LCA,14.3,,14.3
LKA,24.5189393939,5.8144642479,90.7854137447
LSO,1.4493712773,49.2957320563,2.5659050967
LTU,1.0571428571,147.5173016098,1.8673395818
LUX,1.3028571429,1221.0610259114,3.7810945274
LVA,0.5183171151,132.4173945525,1.0671773718
MAR,36.4586206897,8.4352958172,50.7512120194
MDA,6.8459657702,7.5993227595,12.474012474
MDG,4.0228189911,0.7432732849,11.3446861925
MDV,15.6666666667,,15.6666666667
MEX,19.0175973396,12.9355720687,32.9497201674
MKD,16.3125,10.1734253341,25.266214908
MLI,4.3216666667,1.721866725,8.0030864198
MLT,85.1485148515,164.7435093469,85.1485148515
MMR,2.8456071245,1.7725209707,5.8015013966
MNE,,20.8489013122,
MNG,1.3287356322,22.2555906908,3.3950073421
MOZ,0.6784891755,7.6199412205,1.7514863258
MRT,11.8263157895,3.8327132725,13.2462173315
MUS,22.1737549982,17.6001470122,22.1737549982
MWI,7.8518518519,3.1015137279,17.5048380854
MYS,1.1563793103,55.0288788901,3.4394871795
NAM,0.7063392633,35.2035981572,0.8615525672
NER,5.131277533,3.6039932688,7.4539249147
NGA,4.357791754,30.8160380143,9.6682170543
NIC,0.9380622417,6.9553928445,2.6924284717
NLD,8.7784615385,44.2093052189,15.1668881716
NOR,0.6847582697,128.7703217022,2.0464638783
NPL,4.5181255947,2.127185275,8.3118326623
NZL,3.0198776758,33.3031227785,8.0480847596
OMN,116.7142857143,37.1225900436,116.7142857143
PAK,81.0372771475,1.4355679232,122.6918593951
PAN,0.8696089129,46.509821103,0.9010711098
PER,0.8566656027,11.0235258213,3.0010316516
PHL,19.363256785,3.375686298,28.3552430449
PNG,0.0489513109,,0.1322428331
POL,16.6611570248,43.5702218161,34.8909657321
PRI,12.323943662,30.298829628,19.5356106274
PRK,11.2220349968,1.7390394246,27.7404677988
PRT,11.8165374677,16.051553713,18.3765320474
PRY,0.6222760915,13.6155031771,1.835399711
PSE,34.4086021505,34.7489704228,41.0783055199
QAT,432.4137931034,191.6389489422,432.4137931034
ROU,3.1946606292,25.4789127188,6.3411665574
RUS,1.4232854449,18.7394645999,4.0961687054
RWA,1.3827067669,31.5170718382,6.0894039735
SAU,883.3333333333,28.2709852378,883.3333333333
SDN,71.2566137566,2.6549305465,118.6563876652
SEN,5.699127534,6.9448740267,11.8072833599
SGP,82.0166666667,,82.0166666667
SLE,0.132625,8.1976020819,0.4957943925
SLV,8.0624286258,9.990202639,13.2127261385
SOM,22.4353741497,0.1979975633,24.527740592
SRB,3.3150431566,5.911265871,6.0599571734
SSD,1.3292929293,19.1798047394,4.2260757868
STP,1.876146789,7.4896411461,1.876146789
SUR,0.6221212121,6.9003118703,3.950609365
SVK,1.1103792415,146.1561716503,2.3937177281
SVN,2.9224976467,42.5463375848,6.2974983097
SWE,1.3649425287,194.0764722893,3.4271284271
SWZ,23.6807095344,3.5324106712,77.559912854
SYC,,89.3230354093,
SYR,83.1115343411,0.9806607269,124.360138926
TCD,1.924726477,8.359339149,4.294921875
TGO,1.5170068027,13.4051660832,3.391634981
THA,13.0655935797,7.2343182064,23.0139351833
TJK,47.5572797809,0.6855031497,68.7412587413
TKM,112.517666061,1.4367895365,143.5600206079
TLS,14.2665855143,2.2297192879,28.2682103232
TTO,8.7552083333,58.5755782246,20.3264812576
TUN,103.315276273,7.8341194552,121.0674656578
TUR,28.3601134216,13.603152543,44.5740176781
TZA,5.384855095,6.9151704348,12.9632408102
UGA,1.0599001664,28.4657779257,5.8279963403
UKR,4.9264034687,7.7495107124,11.1881316403
URY,2.1254355401,13.1447035342,9.7860962567
