,0
0,AUS
1,BEL
2,CAN
3,DNK
4,FIN
5,FRA
6,DEU
7,GRC
8,HUN
9,ISL
10,IRL
11,KOR
12,LUX
13,MEX
14,NLD
15,NZL
16,NOR
17,AFG
18,ALB
19,DZA
20,AGO
21,ARG
22,ARM
23,AZE
24,BHS
25,BHR
26,BGD
27,BRB
28,BLZ
29,BEN
30,BOL
31,BWA
32,BRA
33,BGR
34,BFA
35,BDI
36,KHM
37,CMR
38,CPV
39,CAF
40,TCD
41,CHL
42,CHN
43,COL
44,COM
45,COG
46,CRI
47,CIV
48,CYP
49,COD
50,DJI
51,DOM
52,ECU
53,EGY
54,SLV
55,GNQ
56,ETH
57,FJI
58,GAB
59,GMB
60,GHA
61,GTM
62,GIN
63,HTI
64,HND
65,IND
66,IDN
67,IRN
68,IRQ
69,ISR
70,JAM
71,JOR
72,KEN
73,KIR
74,KWT
75,KGZ
76,LAO
77,LVA
78,LBY
79,LTU
80,MDG
81,MWI
82,MYS
83,MDV
84,MLI
85,MLT
86,MRT
87,FSM
88,MDA
89,MNG
90,MAR
91,MOZ
92,MMR
93,NAM
94,NPL
95,NIC
96,NER
97,OMN
98,PAK
99,PLW
100,PAN
101,PNG
102,PRY
103,PER
104,RWA
105,WSM
106,SAU
107,SYC
108,SLE
109,SLB
110,SYR
111,TGO
112,UZB
113,VEN
114,YEM
115,ZMB
116,ROU
117,UKR
118,STP
119,TZA
120,UGA
121,VNM
122,SVN
123,PHL
124,TUR
125,SWE
126,ARE
127,ZAF
128,TJK
129,USA
130,TUN
131,SWZ
132,SEN
133,TTO
134,THA
135,LKA
136,GBR
137,ESP
138,QAT
139,TON
