

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Afghanistan",4,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,31.0454615031,"I","","0"
"Afghanistan",4,"SDG 6.4.2. Water Stress",4550,2002,54.7570194384,"E","","0"
"Afghanistan",4,"SDG 6.4.1. Water Use Efficiency",4551,2002,0.3058405717,"I","","0"
"Albania",8,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,5.5070198675,"E","","0"
"Albania",8,"SDG 6.4.2. Water Stress",4550,2002,9.9947115385,"E","","0"
"Albania",8,"SDG 6.4.1. Water Use Efficiency",4551,2002,2.9516696035,"I","","0"
"Algeria",12,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,51.8008576378,"E","","0"
"Algeria",12,"SDG 6.4.2. Water Stress",4550,2002,85.0373724582,"E","","0"
"Algeria",12,"SDG 6.4.1. Water Use Efficiency",4551,2002,15.0087600728,"I","","0"
"Angola",24,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.4491374663,"I","","0"
"Angola",24,"SDG 6.4.2. Water Stress",4550,2002,1.7679575597,"E","","0"
"Angola",24,"SDG 6.4.1. Water Use Efficiency",4551,2002,66.8042720729,"I","","0"
"Antigua and Barbuda",28,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,8.5,"I","","0"
"Antigua and Barbuda",28,"SDG 6.4.2. Water Stress",4550,2002,8.5,"I","","0"
"Antigua and Barbuda",28,"SDG 6.4.1. Water Use Efficiency",4551,2002,117.7569401484,"I","","0"
"Argentina",32,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,3.6174929762,"E","","0"
"Argentina",32,"SDG 6.4.2. Water Stress",4550,2002,8.7942294014,"E","","0"
"Argentina",32,"SDG 6.4.1. Water Use Efficiency",4551,2002,9.2497026316,"I","","0"
"Armenia",51,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,22.293731497,"E","","0"
"Armenia",51,"SDG 6.4.2. Water Stress",4550,2002,34.9404881985,"E","","0"
"Armenia",51,"SDG 6.4.1. Water Use Efficiency",4551,2002,2.2095662575,"I","","0"
"Australia",36,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,4.2197730352,"E","","0"
"Australia",36,"SDG 6.4.2. Water Stress",4550,2002,8.3479225305,"E","","0"
"Austria",40,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,4.6036036036,"E","","0"
"Austria",40,"SDG 6.4.2. Water Stress",4550,2002,9.8839458414,"E","","0"
"Austria",40,"SDG 6.4.1. Water Use Efficiency",4551,2002,78.500721439,"I","","0"
"Azerbaijan",31,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,29.0555155011,"E","","0"
"Azerbaijan",31,"SDG 6.4.2. Water Stress",4550,2002,44.4910576286,"E","","0"
"Azerbaijan",31,"SDG 6.4.1. Water Use Efficiency",4551,2002,1.291718931,"E","","0"
"Bahrain",48,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,220.6139478338,"E","","0"
"Bahrain",48,"SDG 6.4.2. Water Stress",4550,2002,220.6139478338,"E","","0"
"Bahrain",48,"SDG 6.4.1. Water Use Efficiency",4551,2002,45.5580899081,"I","","0"
"Barbados",52,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,101.25,"E","","0"
"Barbados",52,"SDG 6.4.2. Water Stress",4550,2002,101.25,"E","","0"
"Belarus",112,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,3.0822107081,"I","","0"
"Belarus",112,"SDG 6.4.2. Water Stress",4550,2002,5.8820039552,"E","","0"
"Belgium",56,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,36.8071038251,"E","","0"
"Belgium",56,"SDG 6.4.2. Water Stress",4550,2002,82.7481572482,"E","","0"
"Belize",84,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.4647096715,"E","","0"
"Belize",84,"SDG 6.4.2. Water Stress",4550,2002,1.2602944847,"E","","0"
"Belize",84,"SDG 6.4.1. Water Use Efficiency",4551,2002,8.9515036522,"I","","0"
"Benin",204,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.4926108374,"I","","0"
"Benin",204,"SDG 6.4.2. Water Stress",4550,2002,0.975243811,"E","","0"
"Benin",204,"SDG 6.4.1. Water Use Efficiency",4551,2002,23.37349399,"I","","0"
"Bolivia (Plurinational State of)",68,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.3481522542,"E","","0"
"Bolivia (Plurinational State of)",68,"SDG 6.4.2. Water Stress",4550,2002,1.126490383,"E","","0"
"Bosnia and Herzegovina",70,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.0013333333,"E","","0"
"Bosnia and Herzegovina",70,"SDG 6.4.2. Water Stress",4550,2002,2.4933598938,"E","","0"
"Botswana",72,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.5897207368,"I","","0"
"Botswana",72,"SDG 6.4.2. Water Stress",4550,2002,2.0347361516,"E","","0"
"Botswana",72,"SDG 6.4.1. Water Use Efficiency",4551,2002,37.4385163082,"E","","0"
"Brazil",76,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.6562969816,"E","","0"
"Brazil",76,"SDG 6.4.2. Water Stress",4550,2002,2.68321513,"E","","0"
"Brazil",76,"SDG 6.4.1. Water Use Efficiency",4551,2002,17.6841581037,"I","","0"
"Brunei Darussalam",96,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.0823529412,"I","","0"
"Brunei Darussalam",96,"SDG 6.4.2. Water Stress",4550,2002,3.4664657121,"E","","0"
"Bulgaria",100,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,30.9328638498,"E","","0"
"Bulgaria",100,"SDG 6.4.2. Water Stress",4550,2002,48.7005691478,"E","","0"
"Bulgaria",100,"SDG 6.4.1. Water Use Efficiency",4551,2002,3.977717906,"E","","0"
"Burkina Faso",854,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,5.6045925926,"E","","0"
"Burkina Faso",854,"SDG 6.4.2. Water Stress",4550,2002,7.2334608031,"E","","0"
"Burkina Faso",854,"SDG 6.4.1. Water Use Efficiency",4551,2002,5.0572439133,"I","","0"
"Burundi",108,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,2.2721761327,"E","","0"
"Burundi",108,"SDG 6.4.2. Water Stress",4550,2002,10.365356623,"E","","0"
"Burundi",108,"SDG 6.4.1. Water Use Efficiency",4551,2002,3.4723301883,"I","","0"
"Cabo Verde",132,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,7.6,"E","","0"
"Cabo Verde",132,"SDG 6.4.2. Water Stress",4550,2002,7.6,"E","","0"
"Cabo Verde",132,"SDG 6.4.1. Water Use Efficiency",4551,2002,31.821549865,"I","","0"
"Cameroon",120,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.3585378775,"E","","0"
"Cameroon",120,"SDG 6.4.2. Water Stress",4550,2002,1.455483871,"E","","0"
"Cameroon",120,"SDG 6.4.1. Water Use Efficiency",4551,2002,13.5090818567,"I","","0"
"Canada",124,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.4377507675,"I","","0"
"Canada",124,"SDG 6.4.2. Water Stress",4550,2002,4.2969647037,"E","","0"
"Central African Republic",140,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.0487375887,"I","","0"
"Central African Republic",140,"SDG 6.4.2. Water Stress",4550,2002,0.3181481481,"E","","0"
"Central African Republic",140,"SDG 6.4.1. Water Use Efficiency",4551,2002,16.2354047405,"E","","0"
"Chad",148,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,1.8848140044,"E","","0"
"Chad",148,"SDG 6.4.2. Water Stress",4550,2002,4.205859375,"E","","0"
"Chad",148,"SDG 6.4.1. Water Use Efficiency",4551,2002,3.6401711055,"I","","0"
"Chile",152,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,3.3680947841,"E","","0"
"Chile",152,"SDG 6.4.2. Water Stress",4550,2002,7.89555458,"E","","0"
"China",156,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,19.4414517185,"I","","0"
"China",156,"SDG 6.4.2. Water Stress",4550,2002,40.3280699961,"E","","0"
"China",156,"SDG 6.4.1. Water Use Efficiency",4551,2002,5.6142140943,"I","","0"
"Colombia",170,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.370815678,"E","","0"
"Colombia",170,"SDG 6.4.2. Water Stress",4550,2002,1.3100673653,"E","","0"
"Colombia",170,"SDG 6.4.1. Water Use Efficiency",4551,2002,15.8487419842,"I","","0"
"Comoros",174,"MDG 7.5. Freshwater withdrawal as % of total renewable water resources",4275,2002,0.8333333333,"I","","0"
