"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Afghanistan","Rural population (1000 inhab)",2002,17086.91,,2007,20464.923,,2012,23280.663,,2017,26558.609,,,,
"Afghanistan","Urban population (1000 inhab)",2002,4893.013,,2007,6151.869,,2012,7416.295,,2017,8971.472,,,,
"Afghanistan","Population density (inhab/km2)",2002,34.6180957633,,2007,41.5104861686,,2012,47.73056398,,2017,55.5955534111,,,,
"Afghanistan","GDP per capita (current US$/inhab)",2002,194.958382,,2007,389.985586,,2012,694.885618,,2017,605.557362,,,,
"Afghanistan","Human Development Index (HDI) [highest = 1] (-)",2002,0.378,,2007,0.431,,2012,0.479,,2017,0.493,,,,
"Afghanistan","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,,2007,0.7338,,2012,0.71,,2017,0.6934,,,,
"Afghanistan","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,899.0304312641,,2007,751.7526590618,,2012,653.7869187805,,2017,561.2970182234,,,,
"Afghanistan","Total population with access to safe drinking-water (JMP) (%)",2002,33.8,,2007,42.6,,2012,51.6,,2017,55.3,,,,
"Afghanistan","Rural population with access to safe drinking-water (JMP) (%)",2002,27.6,,2007,35.6,,2012,43.7,,2017,47.0,,,,
"Afghanistan","Urban population with access to safe drinking-water (JMP) (%)",2002,55.9,,2007,65.2,,2012,74.5,,2017,78.2,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Albania","Rural population (1000 inhab)",2002,1762.229,,2007,1545.166,,2012,1333.585,,2017,1190.155,,,,
"Albania","Urban population (1000 inhab)",2002,1356.8,,2007,1478.741,,2012,1586.454,,2017,1740.032,,,,
"Albania","Population density (inhab/km2)",2002,108.7369391304,,2007,105.5303652174,,2012,101.3598608696,,2017,104.0089794446,,,,
"Albania","GDP per capita (current US$/inhab)",2002,1396.545492,,2007,3530.969114,,2012,4219.046254,,2017,4445.132198,,,,
"Albania","Human Development Index (HDI) [highest = 1] (-)",2002,0.68,,2007,0.718,,2012,0.771,,2017,0.789,,,,
"Albania","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,,2007,0.3278,,2012,0.253,,2017,0.2174,,,,
"Albania","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,531.9963265153,,2007,417.9435846695,,2012,410.2095469744,,2017,492.2735110183,,,,
"Albania","Total population with access to safe drinking-water (JMP) (%)",2002,96.1,,2007,95.9,,2012,95.4,,2017,95.1,,,,
"Albania","Rural population with access to safe drinking-water (JMP) (%)",2002,93.5,,2007,94.2,,2012,94.9,,2017,95.2,,,,
"Albania","Urban population with access to safe drinking-water (JMP) (%)",2002,99.5,,2007,97.6,,2012,95.7,,2017,94.9,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Algeria","Rural population (1000 inhab)",2002,12317.847,,2007,11885.693,,2012,11677.502,,2017,11547.532,,,,
"Algeria","Urban population (1000 inhab)",2002,19677.199,,2007,22414.383,,2012,25888.345,,2017,29770.61,,,,
"Algeria","Population density (inhab/km2)",2002,13.3747214222,,2007,14.3453827874,,2012,15.6960436488,,2017,17.3777108333,,,,
"Algeria","GDP per capita (current US$/inhab)",2002,1775.875268,,2007,3935.183362,,2012,5565.136948,,2017,4051.244377,,,,
"Algeria","Human Development Index (HDI) [highest = 1] (-)",2002,0.666,,2007,0.708,,2012,0.737,,2017,0.758,,,,
"Algeria","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",2002,0.5934,,2007,0.5332,,2012,0.4516666667,,2017,0.4131,,,,
"Algeria","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,190.2553860546,,2007,211.9825845352,,2012,225.364424975,,2017,252.7713215159,,,,
"Algeria","Total population with access to safe drinking-water (JMP) (%)",2002,88.8,,2007,87.0,,2012,84.9,,2017,83.6,,,,
"Algeria","Rural population with access to safe drinking-water (JMP) (%)",2002,83.7,,2007,83.0,,2012,82.2,,2017,81.8,,,,
"Algeria","Urban population with access to safe drinking-water (JMP) (%)",2002,92.0,,2007,89.1,,2012,86.1,,2017,84.3,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Andorra","Rural population (1000 inhab)",2002,5.855,,2007,8.84,,2012,9.371,,2017,9.12,,,,
"Andorra","Urban population (1000 inhab)",2002,64.194,,2007,73.843,,2012,73.06,,2017,67.845,,,,
"Andorra","Population density (inhab/km2)",2002,149.0404255319,,2007,175.9234042553,,2012,175.3765957447,,2017,163.8319148936,,,,
"Andorra","GDP per capita (current US$/inhab)",2002,24742.619011,,2007,48580.374532,,2012,38391.432342,,2017,39249.689016,,,,
"Andorra","Human Development Index (HDI) [highest = 1] (-)",2002,0.78,,2007,0.829,,2012,0.849,,2017,0.852,,,,
"Andorra","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,,,,,,,,,,,,,
"Andorra","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",,,,,,,,,,,,,,,
"Andorra","Total population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,
"Andorra","Rural population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,
"Andorra","Urban population with access to safe drinking-water (JMP) (%)",2002,100.0,,2007,100.0,,2012,100.0,,2017,100.0,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Angola","Rural population (1000 inhab)",2002,8353.851,,2007,8918.911,,2012,9720.169,,2017,10472.554,,,,
"Angola","Urban population (1000 inhab)",2002,9218.798,,2007,12078.776,,2012,15375.981,,2017,19311.639,,,,
"Angola","Population density (inhab/km2)",2002,14.0526325499,,2007,16.7685593968,,2012,20.1395131146,,2017,23.9165524986,,,,
"Angola","GDP per capita (current US$/inhab)",2002,869.851352,,2007,3108.266911,,2012,5102.492352,,2017,4100.291004,,,,
"Angola","Human Development Index (HDI) [highest = 1] (-)",2002,0.419,,2007,0.482,,2012,0.537,,2017,0.576,,,,
"Angola","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,,,,,,,,,,,,,
"Angola","Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant)",2002,38.0503529313,,2007,33.7616715864,,2012,28.1106396222,,2017,23.6712459024,,,,
"Angola","Total population with access to safe drinking-water (JMP) (%)",2002,45.7,,2007,46.4,,2012,47.8,,2017,49.0,,,,
"Angola","Rural population with access to safe drinking-water (JMP) (%)",2002,37.0,,2007,33.0,,2012,29.0,,2017,28.2,,,,
"Angola","Urban population with access to safe drinking-water (JMP) (%)",2002,62.6,,2007,68.4,,2012,74.2,,2017,75.4,,,,

"",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,,"2018-2022",
"Antigua and Barbuda","Rural population (1000 inhab)",2002,59.439,,2007,65.792,,2012,72.074,,2017,76.802,,,,
"Antigua and Barbuda","Urban population (1000 inhab)",2002,26.827,,2007,25.589,,2012,24.703,,2017,25.21,,,,
"Antigua and Barbuda","Population density (inhab/km2)",2002,177.9431818182,,2007,190.9681818182,,2012,205.475,,2017,216.8772727273,,,,
"Antigua and Barbuda","GDP per capita (current US$/inhab)",2002,9440.352879,,2007,14365.779093,,2012,12399.104623,,2017,14390.246028,,,,
"Antigua and Barbuda","Human Development Index (HDI) [highest = 1] (-)",2002,,,2007,0.784,,2012,0.767,,2017,0.774,,,,
