,0
0,NER
1,BGR
2,ISL
3,DNK
4,SYR
5,SAU
6,SVN
7,MOZ
8,CHN
9,BLZ
10,USA
11,CAN
12,BEL
13,KIR
14,COG
15,MYS
16,GNQ
17,ZAF
18,LUX
19,IND
20,TCD
21,KWT
22,GBR
23,FSM
24,ARG
25,VEN
26,COL
27,IRL
28,MNG
29,MRT
30,SWE
31,HTI
32,KHM
33,YEM
34,NIC
35,NAM
36,BOL
37,PRY
38,HND
39,AUS
40,BWA
41,ETH
42,SEN
43,TON
44,FIN
45,CPV
46,CIV
47,MDG
48,UGA
49,BDI
50,NLD
51,ESP
52,GRC
53,UZB
54,PNG
55,MMR
56,RWA
57,DJI
58,PAK
59,ARM
60,COM
61,MDV
62,GIN
63,QAT
64,PER
65,KEN
66,SLB
67,GTM
68,KGZ
69,PAN
70,MLI
71,CHL
72,DEU
73,DZA
74,BEN
75,MWI
76,GHA
77,MAR
78,BHR
79,ISR
80,SWZ
81,BGD
82,BRA
83,CMR
84,VNM
85,CYP
86,CRI
87,GAB
88,BFA
89,OMN
90,TUR
91,TUN
92,IRQ
93,DOM
94,FRA
95,AFG
96,JAM
97,JOR
98,TTO
99,NPL
100,LKA
101,LBY
102,SLV
103,EGY
104,ARE
105,IDN
106,AGO
107,PHL
108,AZE
109,TJK
110,CAF
111,LTU
112,ZMB
113,LAO
114,NZL
115,HUN
116,ALB
117,SLE
118,PLW
119,LVA
120,BRB
121,IRN
122,MDA
123,GRD
124,NOR
125,THA
126,TGO
127,SYC
128,UKR
129,MLT
130,FJI
131,WSM
132,STP
133,MEX
134,ECU
