Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
-0.7227965, 2020-2039, bcc_csm1_1, Jan Average, Afghanistan, AFG
1.7889252, 2020-2039, bcc_csm1_1, Feb Average, Afghanistan, AFG
6.6479325, 2020-2039, bcc_csm1_1, Mar Average, Afghanistan, AFG
13.529653, 2020-2039, bcc_csm1_1, Apr Average, Afghanistan, AFG
18.811602, 2020-2039, bcc_csm1_1, May Average, Afghanistan, AFG
25.430595, 2020-2039, bcc_csm1_1, Jun Average, Afghanistan, AFG
28.008215, 2020-2039, bcc_csm1_1, Jul Average, Afghanistan, AFG
26.263004, 2020-2039, bcc_csm1_1, Aug Average, Afghanistan, AFG
21.933239, 2020-2039, bcc_csm1_1, Sep Average, Afghanistan, AFG
14.529192, 2020-2039, bcc_csm1_1, Oct Average, Afghanistan, AFG
6.011912, 2020-2039, bcc_csm1_1, Nov Average, Afghanistan, AFG
1.4148505, 2020-2039, bcc_csm1_1, Dec Average, Afghanistan, AFG
0.22384045, 2020-2039, bcc_csm1_1_m, Jan Average, Afghanistan, AFG
1.4957153, 2020-2039, bcc_csm1_1_m, Feb Average, Afghanistan, AFG
6.7295327, 2020-2039, bcc_csm1_1_m, Mar Average, Afghanistan, AFG
13.726008, 2020-2039, bcc_csm1_1_m, Apr Average, Afghanistan, AFG
20.375423, 2020-2039, bcc_csm1_1_m, May Average, Afghanistan, AFG
26.20627, 2020-2039, bcc_csm1_1_m, Jun Average, Afghanistan, AFG
28.27889, 2020-2039, bcc_csm1_1_m, Jul Average, Afghanistan, AFG
27.073528, 2020-2039, bcc_csm1_1_m, Aug Average, Afghanistan, AFG
21.73857, 2020-2039, bcc_csm1_1_m, Sep Average, Afghanistan, AFG
14.624375, 2020-2039, bcc_csm1_1_m, Oct Average, Afghanistan, AFG
8.170154, 2020-2039, bcc_csm1_1_m, Nov Average, Afghanistan, AFG
1.6176475, 2020-2039, bcc_csm1_1_m, Dec Average, Afghanistan, AFG
0.43487096, 2020-2039, ccsm4, Jan Average, Afghanistan, AFG
2.2194707, 2020-2039, ccsm4, Feb Average, Afghanistan, AFG
7.1716943, 2020-2039, ccsm4, Mar Average, Afghanistan, AFG
14.240496, 2020-2039, ccsm4, Apr Average, Afghanistan, AFG
20.766869, 2020-2039, ccsm4, May Average, Afghanistan, AFG
26.220325, 2020-2039, ccsm4, Jun Average, Afghanistan, AFG
27.703423, 2020-2039, ccsm4, Jul Average, Afghanistan, AFG
27.227215, 2020-2039, ccsm4, Aug Average, Afghanistan, AFG
21.758528, 2020-2039, ccsm4, Sep Average, Afghanistan, AFG
14.408291, 2020-2039, ccsm4, Oct Average, Afghanistan, AFG
7.5988345, 2020-2039, ccsm4, Nov Average, Afghanistan, AFG
1.6620219, 2020-2039, ccsm4, Dec Average, Afghanistan, AFG
0.04617884, 2020-2039, cesm1_cam5, Jan Average, Afghanistan, AFG
2.0628848, 2020-2039, cesm1_cam5, Feb Average, Afghanistan, AFG
8.358626, 2020-2039, cesm1_cam5, Mar Average, Afghanistan, AFG
14.869857, 2020-2039, cesm1_cam5, Apr Average, Afghanistan, AFG
21.536196, 2020-2039, cesm1_cam5, May Average, Afghanistan, AFG
26.95854, 2020-2039, cesm1_cam5, Jun Average, Afghanistan, AFG
28.8733, 2020-2039, cesm1_cam5, Jul Average, Afghanistan, AFG
27.415058, 2020-2039, cesm1_cam5, Aug Average, Afghanistan, AFG
22.871906, 2020-2039, cesm1_cam5, Sep Average, Afghanistan, AFG
15.901686, 2020-2039, cesm1_cam5, Oct Average, Afghanistan, AFG
8.350527, 2020-2039, cesm1_cam5, Nov Average, Afghanistan, AFG
2.3035257, 2020-2039, cesm1_cam5, Dec Average, Afghanistan, AFG
-1.7216802, 2020-2039, csiro_mk3_6_0, Jan Average, Afghanistan, AFG
2.0007155, 2020-2039, csiro_mk3_6_0, Feb Average, Afghanistan, AFG
8.176042, 2020-2039, csiro_mk3_6_0, Mar Average, Afghanistan, AFG
13.271111, 2020-2039, csiro_mk3_6_0, Apr Average, Afghanistan, AFG
20.223139, 2020-2039, csiro_mk3_6_0, May Average, Afghanistan, AFG
24.870333, 2020-2039, csiro_mk3_6_0, Jun Average, Afghanistan, AFG
